Power Pop; J-Rock; Television Music
Bitpop; Television Music; J-Pop; Glitch Pop; Indietronica
Television Music; Chiptune; Bitpop
Bitpop; Television Music; Indietronica; Glitch Pop
Glitch Pop; Ambient House
Dance-Pop; Diva House; Brazilian Bass
Singer-Songwriter; Pop
Indie Rock; Folk Rock; Folk Pop
Indie Rock; Folk Rock; Folk Pop
Indie Rock; Folk Rock; Folk Pop
Indie Rock; Folk Rock; Folk Pop
Indie Rock; Folk Rock; Folk Pop
Heartland Rock; Country; Americana; Singer-Songwriter; Country Rock
Americana; Singer-Songwriter; Alt-Country
Americana; Country; Singer-Songwriter
Americana; Singer-Songwriter; Country
Chamber Pop; Singer-Songwriter
Chamber Folk; Singer-Songwriter; Indie Folk